,電影,情緒分數
0,成為王的男人,0.5000045962053354
1,皇后的品格,0.7730754007628534
2,赤月青日,0.7585881818403757
3,神的測驗,0.587640277971963
4,死之詠讚,0.6511511665340246
5,加油吧威基基,0.9230715487337806
6,皮諾丘,0.4997670401003317
7,魔女寶鑑,1.0
8,男朋友,0.5494522386020548
9,來自星星的你,0.9999503734220785
