,電影名稱,聲量
0,成為王的男人,4
1,皇后的品格,62
2,赤月青日,27
3,神的測驗,26
4,死之詠讚,39
5,加油吧威基基,13
6,皮諾丘,20
7,魔女寶鑑,14
8,男朋友,48
9,來自星星的你,10
