顏色,顏色代號
深藍,5#
酒紅,4#
軍綠色,3#
熒光綠,2#
深灰,1#
藏青,藏青
黃,黃
紅,紅
桃,桃
焦糖,焦糖
咖啡色,咖啡色
紫色,紫色
藍,藍
橘,橘
綠,綠
灰,灰
白,白
黑,黑
