,Calvin Klein,UA,Nike,Mollifix,Decathlon,Adidas
支撐力,0,0,0,0,0,2
防震,3,0,0,0,0,0
包覆,2,0,8,1,0,0
固定,0,0,4,0,1,1
調整,8,0,0,0,1,0
舒適,11,2,4,0,3,1
柔軟,2,0,0,0,0,0
透氣,2,0,4,0,1,0
排汗,0,0,8,0,0,0
吸濕,0,0,1,0,0,0
快乾,0,0,2,0,0,0
輕量,0,0,0,0,1,0
剪裁,0,1,0,0,0,1
設計,4,0,1,0,0,0
尺寸,7,1,8,0,4,11
運動,38,7,14,2,18,1
健身,25,5,1,0,12,1
訓練,29,12,4,0,20,1
跑步,20,3,21,0,17,5
重訓,5,0,1,0,3,0
活動,15,12,2,0,1,2
身體,31,4,1,0,5,0
肌肉,24,9,5,0,8,1
體重,27,0,2,0,1,0
姿勢,3,5,5,1,4,0
受傷,5,1,0,0,2,0
膝蓋,11,3,4,0,1,3
