,預告,中字,媽媽,官網,刑警,韓國
成為王的男人,1,0,0,0,1,0
皇后的品格,26,5,0,8,1,16
赤月青日,8,19,28,6,17,3
神的測驗,14,0,12,6,140,23
死之詠讚,1,0,2,0,0,1
加油吧威基基,35,46,15,13,11,8
皮諾丘,48,149,0,27,1,73
魔女寶鑑,17,0,86,26,0,13
男朋友,66,98,11,12,95,4
來自星星的你,17,1,0,8,0,14
