品牌,健身,無鋼圈,舒適,跑步
Adidas,0.0,0.0,0.0,0.0
Calvin_Klein,0.0,0.0,0.0,0.0
Decathlon,0.0,0.0,0.11250682267033899,0.010100533705015164
Nike,0.0,0.0,0.021910090203154875,0.0
Shock_Absorber,0.0,0.0,0.0,0.0
Triumph,0.0,0.0,0.0688464241840952,0.0
Under_Armour,0.0,0.0,0.0,0.0
Uniqlo,0.0,0.0,0.10241795925525198,0.0
